"","SYMBOL","ENSEMBL","ENTREZID"
"532","LOC285626","ENSG00000249738","285626"
"533","NMNAT2","ENSG00000157064","23057"
"534","FKBP4","ENSG00000004478","2288"
"535","CUL4B","ENSG00000158290","8450"
"536","SUOX","ENSG00000139531","6821"
"537","NECTIN3","ENSG00000177707","25945"
"538","LOC102724434","ENSG00000237870","102724434"
"539","LYRM4","ENSG00000214113","57128"
"540","RNF175","ENSG00000145428","285533"
"541","LAMB3","ENSG00000196878","3914"
"542","GORASP1","ENSG00000114745","64689"
"543","CFAP300","ENSG00000137691","85016"
"544","EAF1","ENSG00000144597","85403"
"545","SNRNP25","ENSG00000161981","79622"
"546","SNAPIN","ENSG00000143553","23557"
"547","NPAT","ENSG00000149308","4863"
"548","CD44","ENSG00000026508","960"
"549","MUC19","ENSG00000205592","283463"
"550","SGSM3","ENSG00000100359","27352"
"551","SOGA3","ENSG00000255330","387104"
"552","SOGA3","ENSG00000214338","387104"
"553","SEPHS2","ENSG00000179918","22928"
"554","EMP3","ENSG00000142227","2014"
"555","PDIK1L","ENSG00000175087","149420"
"556","TMEM183A","ENSG00000163444","92703"
"557","MBNL1","ENSG00000152601","4154"
"558","ARRB1","ENSG00000137486","408"
"559","CSPG4","ENSG00000173546","1464"
"560","ZNF692","ENSG00000171163","55657"
"561","ERCC2","ENSG00000104884","2068"
"562","PPP1R16A","ENSG00000160972","84988"
"563","TOB1","ENSG00000141232","10140"
"564","QPCT","ENSG00000115828","25797"
"565","ITGA6","ENSG00000091409","3655"
"566","ZNF800","ENSG00000048405","168850"
"567","MTCL1","ENSG00000168502","23255"
"568","UBE2Q1","ENSG00000160714","55585"
"569","KCTD4","ENSG00000180332","386618"
"570","GRIN1","ENSG00000176884","2902"
"571","FGF5","ENSG00000138675","2250"
"572","FER","ENSG00000151422","2241"
"573","OR9Q2","ENSG00000186513","219957"
"574","MYB","ENSG00000118513","4602"
"575","PPP1R3D","ENSG00000132825","5509"
"576","PSG2","ENSG00000242221","5670"
"577","PRLR","ENSG00000113494","5618"
"578","LOC102724301","ENSG00000254854","102724301"
"579","CEP164","ENSG00000110274","22897"
"580","LINC02343","ENSG00000271850","105370158"
"581","TARID","ENSG00000227954","100507308"
"582","RNASEL","ENSG00000135828","6041"
"583","IFIT1B","ENSG00000204010","439996"
"584","PLSCR5","ENSG00000231213","389158"
"585","APOC4","ENSG00000267467","346"
"586","ERGIC1","ENSG00000113719","57222"
"587","DNAJC12","ENSG00000108176","56521"
"588","BCL2L11","ENSG00000153094","10018"
"589","RSPH1","ENSG00000160188","89765"
"590","NDUFB10","ENSG00000140990","4716"
"591","ERLIN1","ENSG00000107566","10613"
"592","KLHL30","ENSG00000168427","377007"
"593","SEMA4F","ENSG00000135622","10505"
"594","SBK3","ENSG00000231274","100130827"
"595","MACF1","ENSG00000127603","23499"
"596","APOC1","ENSG00000130208","341"
"597","GNG2","ENSG00000186469","54331"
"598","GSKIP","ENSG00000100744","51527"
"599","RBAK","ENSG00000146587","57786"
"600","ANKRD33B","ENSG00000164236","651746"
"601","COQ9","ENSG00000088682","57017"
"602","FKRP","ENSG00000181027","79147"
