block_id,drug_row,drug_col,conc_r,conc_c,response,conc_r_unit,conc_c_unit
5,Dasatinib,Entinostat,0.0078125,1.25,62.60208711,uM,uM
5,Dasatinib,Entinostat,0.015625,2.5,58.00816697,uM,uM
5,Dasatinib,Entinostat,0.03125,5,48.40063521,uM,uM
5,Dasatinib,Entinostat,0.0625,10,41.14677858,uM,uM
5,Dasatinib,Entinostat,0.125,20,41.1581216,uM,uM
5,Dasatinib,Entinostat,0.25,40,46.35322142,uM,uM
5,Dasatinib,Entinostat,0.001953125,0,89.47264985,uM,uM
5,Dasatinib,Entinostat,0.00390625,0,83.36062889,uM,uM
5,Dasatinib,Entinostat,0.0078125,0,82.561415,uM,uM
5,Dasatinib,Entinostat,0.015625,0,77.13069112,uM,uM
5,Dasatinib,Entinostat,0.03125,0,63.95676384,uM,uM
5,Dasatinib,Entinostat,0.0625,0,52.95774648,uM,uM
5,Dasatinib,Entinostat,0.125,0,45.10972814,uM,uM
5,Dasatinib,Entinostat,0.25,0,42.76449394,uM,uM
5,Dasatinib,Entinostat,0,0.3125,91.70565136,uM,uM
5,Dasatinib,Entinostat,0,0.625,98.77411644,uM,uM
5,Dasatinib,Entinostat,0,1.25,95.29110466,uM,uM
5,Dasatinib,Entinostat,0,2.5,82.39713164,uM,uM
5,Dasatinib,Entinostat,0,5,60.63855216,uM,uM
5,Dasatinib,Entinostat,0,10,45.40891241,uM,uM
5,Dasatinib,Entinostat,0,20,40.62147857,uM,uM
5,Dasatinib,Entinostat,0,40,42.11029537,uM,uM
5,Dasatinib,Entinostat,0.001953125,0.3125,71.8097719,uM,uM
5,Dasatinib,Entinostat,0.00390625,0.625,72.02351134,uM,uM
5,Dasatinib,Entinostat,0.0078125,1.25,66.72678088,uM,uM
5,Dasatinib,Entinostat,0.015625,2.5,54.64604972,uM,uM
5,Dasatinib,Entinostat,0.03125,5,54.66386134,uM,uM
5,Dasatinib,Entinostat,0.0625,10,51.21063354,uM,uM
5,Dasatinib,Entinostat,0.125,20,51.49784591,uM,uM
5,Dasatinib,Entinostat,0.25,40,49.74785426,uM,uM
6,Dasatinib,Gefitinib,0.001953125,0,81.09732265,uM,uM
6,Dasatinib,Gefitinib,0.00390625,0,77.07641196,uM,uM
6,Dasatinib,Gefitinib,0.0078125,0,72.86007426,uM,uM
6,Dasatinib,Gefitinib,0.015625,0,67.46140317,uM,uM
6,Dasatinib,Gefitinib,0.03125,0,60.94391245,uM,uM
6,Dasatinib,Gefitinib,0.0625,0,48.97400821,uM,uM
6,Dasatinib,Gefitinib,0.125,0,39.90130936,uM,uM
6,Dasatinib,Gefitinib,0.25,0,37.53664256,uM,uM
6,Dasatinib,Gefitinib,0,0.390625,70.3530331,uM,uM
6,Dasatinib,Gefitinib,0,0.78125,65.05256428,uM,uM
6,Dasatinib,Gefitinib,0,1.5625,58.53388265,uM,uM
6,Dasatinib,Gefitinib,0,3.125,61.21892314,uM,uM
6,Dasatinib,Gefitinib,0,6.25,60.80622247,uM,uM
6,Dasatinib,Gefitinib,0,12.5,66.58900412,uM,uM
6,Dasatinib,Gefitinib,0,25,62.76033527,uM,uM
6,Dasatinib,Gefitinib,0,50,41.46895866,uM,uM
6,Dasatinib,Gefitinib,0.001953125,0.390625,71.7356708,uM,uM
6,Dasatinib,Gefitinib,0.00390625,0.78125,62.89438452,uM,uM
6,Dasatinib,Gefitinib,0.0078125,1.5625,56.92777932,uM,uM
6,Dasatinib,Gefitinib,0.015625,3.125,57.00861394,uM,uM
6,Dasatinib,Gefitinib,0.03125,6.25,60.05506858,uM,uM
6,Dasatinib,Gefitinib,0.0625,12.5,70.79091621,uM,uM
6,Dasatinib,Gefitinib,0.125,25,69.29547579,uM,uM
6,Dasatinib,Gefitinib,0.25,50,31.43961401,uM,uM
6,Dasatinib,Gefitinib,0.001953125,0,92.01706885,uM,uM
6,Dasatinib,Gefitinib,0.00390625,0,91.88231478,uM,uM
6,Dasatinib,Gefitinib,0.0078125,0,84.81521224,uM,uM
6,Dasatinib,Gefitinib,0.015625,0,76.91962169,uM,uM
6,Dasatinib,Gefitinib,0.03125,0,70.43645347,uM,uM
6,Dasatinib,Gefitinib,0.0625,0,55.69335962,uM,uM
6,Dasatinib,Gefitinib,0.125,0,44.39897188,uM,uM
6,Dasatinib,Gefitinib,0.25,0,39.87223317,uM,uM
6,Dasatinib,Gefitinib,0,0.390625,63.18139203,uM,uM
6,Dasatinib,Gefitinib,0,0.78125,63.29300415,uM,uM
6,Dasatinib,Gefitinib,0,1.5625,61.05183267,uM,uM
6,Dasatinib,Gefitinib,0,3.125,61.56524845,uM,uM
6,Dasatinib,Gefitinib,0,6.25,62.38671369,uM,uM
