"","Ensembl ID","Gene Symbol","BH-Adjusted P-Value","T-Statistic","Average Expression","Log2 Fold Change in Expression"
"325","ENSG00000177494","ZBED2",0.0408,-3.9096,-2.5034,-3.6059
"326","ENSG00000047346","ATOSA",0.0413,3.9046,4.4827,1.3433
"327","ENSG00000258967",NA,0.0415,-3.9025,-1.552,-1.2784
"328","ENSG00000102854","MSLN",0.0415,-3.901,1.2249,-3.9084
"329","ENSG00000100139","MICALL1",0.0416,-3.8997,5.523,-1.1009
"330","ENSG00000130176","CNN1",0.0418,-3.8972,-3.0714,-2.7363
"331","ENSG00000143373","ZNF687",0.0423,3.8931,5.7079,0.7736
"332","ENSG00000155368","DBI",0.0424,3.8898,7.0552,1.0075
"333","ENSG00000245750","DRAIC",0.0424,3.8896,-1.6292,2.5713
"334","ENSG00000245750","LINC00593",0.0424,3.8896,-1.6292,2.5713
"335","ENSG00000245750","PCAT29",0.0424,3.8896,-1.6292,2.5713
"336","ENSG00000205444","KU-MEL-3",0.0424,3.8895,-6.3475,2.1638
"337","ENSG00000143870","PDIA6",0.0434,-3.8814,8.2026,-0.8526
"338","ENSG00000272788",NA,0.0437,-3.8783,-4.3952,-2.3484
"339","ENSG00000076043","REXO2",0.0439,-3.8757,5.7447,-1.0102
"340","ENSG00000143862","ARL8A",0.0449,3.8665,5.0143,0.8089
"341","ENSG00000136636","KCTD3",0.0449,3.8664,6.8418,0.8838
"342","ENSG00000137824","RMDN3",0.0449,3.8658,5.4116,0.7331
"343","ENSG00000228421",NA,0.0449,3.8648,-4.8161,3.027
"344","ENSG00000124120","TTPAL",0.0449,-3.8644,5.3413,-0.8346
"345","ENSG00000255178","LINC02720",0.0454,3.8606,-7.1134,1.7968
"346","ENSG00000144228","SPOPL",0.0454,3.8597,5.2301,0.795
"347","ENSG00000259918",NA,0.0455,3.8576,-2.3977,1.0157
"348","ENSG00000132326","PER2",0.0455,3.8573,4.2061,1.1573
"349","ENSG00000019186","CYP24A1",0.0455,-3.8548,-0.5855,-3.2694
"350","ENSG00000145996","CDKAL1",0.0455,-3.8539,3.9245,-0.6853
"351","ENSG00000068885","IFT80",0.0455,-3.8532,5.0422,-0.7447
